tract,Name,Employment_Rate
51059452802,"Bailey's Crossroads, VA",
51059470500,"McLean, VA",
51013101900,"Ashton Heights, Arlington, VA",
11001001001,"American University Park, Washington, DC",
24031704803,"Bethesda, MD",
11001005800,"Northwest Washington, Washington, DC",
51013101602,"Colonial Village, Arlington, VA",
11001000502,"Northwest Washington, Washington, DC",
51013101402,"Virginia Square, Arlington, VA",
24031704600,"Bethesda, MD",
11001000901,"Northwest Washington, Washington, DC",
11001000202,"Georgetown, Washington, DC",
51013101000,"Arlington, VA",
24031706013,"Bethesda, MD",
11001000400,"Naval Observatory, Washington, DC",
51013103501,"Arlington Ridge, Arlington, VA",
51013101703,"Radnor - Fort Myer Heights, Arlington, VA",
51059451800,"Lincolnia, VA",
51510202001,"Old Town, Alexandria, VA",
51013101100,"East Falls Church, Arlington, VA",
11001000501,"Northwest Washington, Washington, DC",
51013103602,"Aurora Highlands, Arlington, VA",
11001006804,"Southeast Washington, Washington, DC",
51059451200,"Falls Church, VA",
51013100600,"Cherrydale, Arlington, VA",
24031704804,"Bethesda, MD",
51013101401,"Bluemont, Arlington, VA",
11001000702,"Northwest Washington, Washington, DC",
51510200701,"Eisenhower West, Alexandria, VA",
51510200404,"Landmark, Alexandria, VA",
24031705300,"Chevy Chase, MD",
11001006600,"Capitol Hill, Washington, DC",
11001000802,"Northwest Washington, Washington, DC",
24031705701,"Bethesda, MD",
51610500100,"Falls Church, VA",
51013101801,"Court House, Arlington, VA",
51610500300,"Falls Church, VA",
11001000701,"Cathedral Heights, Washington, DC",
24031704806,"Bethesda, MD",
11001004001,"Adams Morgan, Washington, DC",
51510200702,"Eisenhower East, Alexandria, VA",
51059471000,"Falls Church, VA",
51013103000,"Shirlington, Arlington, VA",
51510200403,"Landmark, Alexandria, VA",
51013102002,"Ashton Heights, Arlington, VA",
51059450500,"Falls Church, VA",
24031704700,"Bethesda, MD",
51013101603,"North Rosslyn, Arlington, VA",
51510200202,"Seminary Hill, Alexandria, VA",
11001000201,"Georgetown, Washington, DC",
51059451000,"Annandale, VA",
24031705000,"Bethesda, MD",
51013101404,"Virginia Square, Arlington, VA",
24031705901,"Bethesda, MD",
51059480100,"Great Falls, VA",
11001004100,"Northwest Washington, Washington, DC",
51013103700,"Arlington Ridge, Arlington, VA",
51059470800,"McLean, VA",
51059470100,"McLean, VA",
51013100300,"Old Glebe, Arlington, VA",
51013103502,"Aurora Highlands, Arlington, VA",
51059451300,"Falls Church, VA",
24031705903,"Bethesda, MD",
51510201000,"North Ridge, Alexandria, VA",
11001008200,"Northeast Washington, Washington, DC",
24031705200,"Chevy Chase, MD",
24031705502,"Chevy Chase, MD",
51013102100,"Glencarlyn, Arlington, VA",
24031705702,"Bethesda, MD",
24031705800,"Glen Echo, MD",
24031706008,"Potomac, MD",
11001001402,"Northwest Washington, Washington, DC",
51013102901,"Shirlington, Arlington, VA",
51059470600,"McLean, VA",
51013100200,"Yorktown, Arlington, VA",
